THRUST
; AeroTech K700W
; converted from TMT test stand data 1998 (www.tripoli.org)
; provided by ThrustCurve.org (www.thrustcurve.org)
; total weight: 2035g, propellant weight: 1292g
0.00	0.00
0.02	839.10
0.07	1139.57
0.12	1034.92
0.17	1019.62
0.22	1018.67
0.27	1015.24
0.32	1027.08
0.37	1025.57
0.42	1035.54
0.47	1032.75
0.52	1021.21
0.57	1027.46
0.62	1028.69
0.67	1028.36
0.72	1024.29
0.77	1001.99
0.82	994.19
0.87	979.88
0.92	970.58
0.97	958.62
1.02	951.92
1.06	948.00
1.11	937.13
1.16	930.23
1.21	913.93
1.26	896.22
1.31	879.77
1.36	868.58
1.41	844.20
1.46	827.71
1.51	811.37
1.56	787.46
1.61	779.05
1.66	758.74
1.71	750.23
1.76	735.68
1.81	721.89
1.86	699.21
1.91	689.97
1.96	682.72
2.01	665.62
2.06	655.32
2.11	643.56
2.16	634.02
2.21	620.93
2.26	612.33
2.31	601.22
2.36	577.70
2.41	548.26
2.45	511.42
2.50	483.87
2.55	457.89
2.60	420.71
2.65	386.22
2.70	356.72
2.75	327.31
2.80	289.84
2.85	239.24
2.90	182.31
2.95	148.30
3.00	132.07
3.05	111.87
3.10	101.05
3.15	86.31
3.20	70.96
3.25	60.44
3.30	52.02
3.35	44.88
3.40	39.31
3.45	30.00
3.50	27.83
-1.00
